type,timestamp,price,quantity,cost,balance,revenue,profit,profit_pct
SELL,2025-07-15 20:27:00,685.8,0.07175390307515664,,51.70090303947296,49.159617902213476,-0.010763085461280021,-0.021867483052713892
BUY,2025-07-15 20:28:00,685.7,0.07162878501895772,49.16497374538681,2.535929294086152,,,
SELL,2025-07-15 20:29:00,685.73,0.07162878501895772,,51.604818038384984,49.06888874429883,0.0021488635505667775,0.004375091147728265
BUY,2025-07-15 20:34:00,685.61,0.07150504971699032,49.07360171360219,2.531216324782797,,,
SELL,2025-07-15 20:38:00,685.13,0.07150504971699032,,51.472480782671774,48.94126445788898,-0.034322423864156654,-0.07001064745263608
BUY,2025-07-15 20:48:00,685.53,0.07133000268921591,48.94775560028172,2.524725182390057,,,
SELL,2025-07-15 21:00:00,684.88,0.07133000268921591,,51.32836493193846,48.8036397495484,-0.04636450174798872,-0.09481714877539675
BUY,2025-07-15 21:08:00,686.0,0.07108155493490019,48.810708632026866,2.517656299911593,,,
SELL,2025-07-15 22:04:00,687.9,0.07108155493490019,,51.36576093798972,48.84810463807813,0.13505495437630874,0.2769679300291512
BUY,2025-07-15 22:15:00,689.1,0.07081334043112789,48.84627036398131,2.519490574008408,,,
SELL,2025-07-15 22:35:00,688.81,0.07081334043112789,,51.24765065935124,48.72816008534283,-0.02053586872503256,-0.04208387752141595
BUY,2025-07-15 22:44:00,690.2,0.07053791383132957,48.733953394510046,2.5136972648411913,,,
SELL,2025-07-15 23:28:00,692.54,0.07053791383132957,,51.31517378274542,48.80147651790423,0.16505871836530542,0.339032164589962
BUY,2025-07-16 00:06:00,689.62,0.07069025708884334,48.798164508701745,2.517009274043673,,,
SELL,2025-07-16 00:09:00,689.06,0.07069025708884334,,51.17812799513242,48.66111872108875,-0.03958654396975645,-0.08120414141122055
BUY,2025-07-16 00:23:00,690.11,0.07045140860931706,48.66784081697117,2.5102871781612492,,,
SELL,2025-07-16 01:03:00,692.47,0.07045140860931706,,51.24698861093535,48.7367014327741,0.16626532431798924,0.3419744678384625
BUY,2025-07-16 01:58:00,689.98,0.07055949329022373,48.73332381956896,2.513664791366388,,,
SELL,2025-07-16 02:04:00,689.74,0.07055949329022373,,51.1327019884633,48.619037197096915,-0.016934278389654337,-0.034783616916433675
BUY,2025-07-16 02:52:00,687.53,0.07065301425252736,48.62464295592917,2.5080590325341348,,,
SELL,2025-07-16 03:13:00,687.04,0.07065301425252736,,51.000964497678474,48.49290546514434,-0.03461997698373905,-0.07126961732579075
BUY,2025-07-16 03:24:00,687.78,0.07044536955537316,48.49936718906734,2.5015973086111316,,,
SELL,2025-07-16 03:55:00,688.1,0.07044536955537316,,50.926582640872354,48.42498533226122,0.022542518257722934,0.04652650556864841
BUY,2025-07-16 04:28:00,686.64,0.07045941615523234,48.428633762337554,2.4979488785347996,,,
SELL,2025-07-16 04:51:00,686.61,0.07045941615523234,,50.82771046515253,48.32976158661773,-0.0021137824846550477,-0.004369101712683897
BUY,2025-07-16 05:01:00,687.15,0.07027042849726392,48.334611266836795,2.4930991983157327,,,
SELL,2025-07-16 05:55:00,689.15,0.07027042849726392,,50.871538131406275,48.37843893309054,0.14054085699452784,0.29105726551699046
BUY,2025-07-16 06:18:00,689.1,0.07013200003604114,48.37628918606078,2.4952489453454945,,,
SELL,2025-07-16 07:10:00,690.41,0.07013200003604114,,50.866663256083775,48.37141431073828,0.09187292004721007,0.19010303294151
BUY,2025-07-16 07:22:00,691.39,0.06989301276165347,48.37165342337286,2.495009832710913,,,
SELL,2025-07-16 07:58:00,692.09,0.06989301276165347,,50.81889277972145,48.32388294701054,0.048925108933160606,0.10124531740407663
BUY,2025-07-16 08:22:00,691.92,0.06977388735798268,48.3262260888761,2.492666690845354,,,
SELL,2025-07-16 08:55:00,692.79,0.06977388735798268,,50.78297946215943,48.29031277131408,0.060703282001445244,0.12573707943114878
BUY,2025-07-16 09:03:00,693.68,0.06954767398375543,48.29207431954051,2.490905142618921,,,
SELL,2025-07-16 09:31:00,695.38,0.06954767398375543,,50.80460461590795,48.31369947328903,0.1182310457723874,0.2450697728059113
BUY,2025-07-16 09:32:00,695.36,0.06940919003841542,48.31263875949765,2.491965856410296,,,
SELL,2025-07-16 09:42:00,693.96,0.06940919003841542,,50.61100017395,48.11903431753971,-0.09717286605378,-0.20133456051541318
BUY,2025-07-16 09:54:00,695.01,0.06917950844628495,48.12853061541775,2.4824695585322516,,,
SELL,2025-07-16 10:05:00,694.51,0.06917950844628495,,50.48028410915059,47.99781455061834,-0.03458975422314248,-0.07194141091495088
